sentences,parts_of_speech
я запомнил свою мать седой и усталой,местоимение глагол местоимение существительное прилагательное союз прилагательное
до сих пор слышу её негромкий голос,предлог местоимение существительное глагол местоимение прилагательное существительное
мама подробно рассказывала в письме о ёлке,существительное наречие глагол предлог существительное предлог существительное
в шкафу случайно нашлись разноцветные ёлочные свечи,предлог существительное наречие глагол прилагательное прилагательное существительное
он никому не признавался в своём открытии,местоимение местоимение частица глагол предлог местоимение существительное
жена стояла возле раковины и мыла посуду,существительное глагол предлог существительное союз глагол существительное
сияющее летнее утро сбросило туманы тихой ночи,причастие прилагательное существительное глагол существительное прилагательное существительное
утро дышит нам в лицо целебной прохладой,существительное глагол местоимение предлог существительное прилагательное существительное
его сердце громко стучит предчувствуя удивительные встречи,местоимение существительное наречие глагол деепричастие прилагательное существительное
светлою лентой вьётся река среди пойменных лугов,прилагательное существительное глагол существительное предлог прилагательное существительное
багровея медленно катится к горизонту большое солнце,деепричастие наречие глагол предлог существительное прилагательное существительное
по небу неторопливо плыли низкие набухшие тучи,предлог существительное наречие глагол прилагательное причастие существительное
сквозь тучи неожиданно блеснул узкий солнечный луч,предлог существительное наречие глагол прилагательное прилагательное существительное
окрашенные стены домов радовали глаз своей свежестью,причастие существительное существительное глагол существительное местоимение существительное
по широкому проспекту лился оживлённый людской поток,предлог прилагательное существительное глагол причастие прилагательное существительное
это минутное золотое сияние по-иному представило город,местоимение прилагательное прилагательное существительное наречие глагол существительное
от нашего класса у меня остались воспоминания,предлог местоимение существительное предлог местоимение глагол существительное
классы соревновались не за отметки или проценты,существительное глагол частица предлог существительное союз существительное
лёгкие тени ветвей дрожали на чистом полу,прилагательное существительное существительное глагол предлог прилагательное существительное
он собирал ягоды шиповника и пахучий можжевельник,местоимение глагол существительное существительное союз прилагательное существительное
в соседней квартире кто-то играл на рояле,предлог прилагательное существительное местоимение глагол предлог существительное
художник звал его приехать в муромские леса,существительное глагол местоимение глагол предлог прилагательное существительное
журавлиные стаи с курлыканьем летели над озером,прилагательное существительное предлог существительное глагол предлог существительное
в коротком послании он даёт последние распоряжения,предлог прилагательное существительное местоимение глагол прилагательное существительное
мало-помалу отчаяние и безнадёжность овладевали окруженным войском,наречие существительное союз существительное глагол причастие существительное
любовь требует ощущения воздуха и свободы души,существительное глагол существительное существительное союз существительное существительное
он нёс меня на себе восемь километров,местоимение глагол местоимение предлог местоимение числительное существительное
лохматый хвост неистово заметает пыль на асфальте,прилагательное существительное наречие глагол существительное предлог существительное
истинная цена человека рано или поздно обнаруживается,прилагательное существительное существительное наречие союз наречие глагол
в детстве я зачитывался книжками про индейцев,предлог существительное местоимение глагол существительное предлог существительное
вечерами в огромном котле я варил уху,существительное предлог прилагательное существительное местоимение глагол существительное
среди миллионов снежинок одинаковых никогда не будет,предлог числительное существительное прилагательное наречие частица глагол
теперь её место среди пыльных музейных экспонатов,наречие местоимение существительное предлог прилагательное прилагательное существительное
призвание всегда связано с большой долей риска,существительное наречие прилагательное предлог прилагательное существительное существительное
я лежу в окопе на разостланной шинели,местоимение глагол предлог существительное предлог причастие существительное
аисты часто прилетают сюда в предвечернюю пору,существительное наречие глагол наречие предлог прилагательное существительное
на земле начинают торопливо трещать пулеметные очереди,предлог существительное глагол наречие глагол прилагательное существительное
несколько дней я прожил в рыбачьем порту,числительное существительное местоимение глагол предлог прилагательное существительное
эллинские мореплаватели выбросили амфору за борт корабля,прилагательное существительное глагол существительное предлог существительное существительное
ветровые потоки постепенно относят их в сторону,прилагательное существительное наречие глагол местоимение предлог существительное
взял дедушка с полки книжку русских сказок,глагол существительное предлог существительное существительное прилагательное существительное
зябкий ветер сорвал с моей головы фуражку,прилагательное существительное глагол предлог местоимение существительное существительное
с историей картофеля связано много забавных рассказов,предлог существительное существительное причастие числительное прилагательное существительное
