country_label,country,decor_label,decor,type_label,type,file
1,Russia,1,Gzhel,2,product,01_01_2_047.png
1,Russia,1,Gzhel,2,product,01_01_2_048.png
1,Russia,1,Gzhel,2,product,01_01_2_049.png
1,Russia,1,Gzhel,2,product,01_01_2_050.png
1,Russia,1,Gzhel,2,product,01_01_2_051.png
1,Russia,1,Gzhel,2,product,01_01_2_052.png
1,Russia,1,Gzhel,2,product,01_01_2_053.png
1,Russia,1,Gzhel,2,product,01_01_2_054.png
1,Russia,1,Gzhel,2,product,01_01_2_055.png
1,Russia,2,Khokhloma,1,pattern,01_02_1_001.png
1,Russia,2,Khokhloma,1,pattern,01_02_1_002.png
1,Russia,2,Khokhloma,1,pattern,01_02_1_003.png
1,Russia,2,Khokhloma,1,pattern,01_02_1_004.png
1,Russia,2,Khokhloma,1,pattern,01_02_1_005.png
1,Russia,2,Khokhloma,1,pattern,01_02_1_006.png
1,Russia,2,Khokhloma,1,pattern,01_02_1_007.png
1,Russia,2,Khokhloma,1,pattern,01_02_1_008.png
1,Russia,2,Khokhloma,1,pattern,01_02_1_009.png
1,Russia,2,Khokhloma,1,pattern,01_02_1_010.png
1,Russia,2,Khokhloma,1,pattern,01_02_1_011.png
1,Russia,2,Khokhloma,1,pattern,01_02_1_012.png
1,Russia,2,Khokhloma,1,pattern,01_02_1_013.png
1,Russia,2,Khokhloma,1,pattern,01_02_1_014.png
1,Russia,2,Khokhloma,2,product,01_02_2_001.png
1,Russia,2,Khokhloma,2,product,01_02_2_002.png
1,Russia,2,Khokhloma,2,product,01_02_2_003.png
1,Russia,2,Khokhloma,2,product,01_02_2_004.png
1,Russia,2,Khokhloma,2,product,01_02_2_005.png
1,Russia,2,Khokhloma,2,product,01_02_2_006.png
1,Russia,2,Khokhloma,2,product,01_02_2_007.png
1,Russia,2,Khokhloma,2,product,01_02_2_008.png
1,Russia,2,Khokhloma,2,product,01_02_2_009.png
1,Russia,2,Khokhloma,2,product,01_02_2_010.png
1,Russia,2,Khokhloma,2,product,01_02_2_011.png
1,Russia,2,Khokhloma,2,product,01_02_2_012.png
1,Russia,2,Khokhloma,2,product,01_02_2_013.png
1,Russia,2,Khokhloma,2,product,01_02_2_014.png
1,Russia,2,Khokhloma,2,product,01_02_2_015.png
1,Russia,2,Khokhloma,2,product,01_02_2_016.png
1,Russia,2,Khokhloma,2,product,01_02_2_017.png
1,Russia,2,Khokhloma,2,product,01_02_2_018.png
1,Russia,2,Khokhloma,2,product,01_02_2_019.png
1,Russia,2,Khokhloma,2,product,01_02_2_020.png
1,Russia,2,Khokhloma,2,product,01_02_2_021.png
1,Russia,2,Khokhloma,2,product,01_02_2_022.png
1,Russia,2,Khokhloma,2,product,01_02_2_023.png
1,Russia,2,Khokhloma,2,product,01_02_2_024.png
1,Russia,2,Khokhloma,2,product,01_02_2_025.png
1,Russia,2,Khokhloma,2,product,01_02_2_026.png
1,Russia,2,Khokhloma,2,product,01_02_2_027.png
1,Russia,2,Khokhloma,2,product,01_02_2_028.png
1,Russia,2,Khokhloma,2,product,01_02_2_029.png
1,Russia,2,Khokhloma,2,product,01_02_2_030.png
1,Russia,2,Khokhloma,2,product,01_02_2_031.png
1,Russia,2,Khokhloma,2,product,01_02_2_032.png
1,Russia,2,Khokhloma,2,product,01_02_2_033.png
1,Russia,2,Khokhloma,2,product,01_02_2_034.png
1,Russia,2,Khokhloma,2,product,01_02_2_035.png
1,Russia,2,Khokhloma,2,product,01_02_2_036.png
1,Russia,2,Khokhloma,2,product,01_02_2_037.png
1,Russia,2,Khokhloma,2,product,01_02_2_038.png
1,Russia,2,Khokhloma,2,product,01_02_2_039.png
1,Russia,2,Khokhloma,2,product,01_02_2_040.png
1,Russia,2,Khokhloma,2,product,01_02_2_041.png
1,Russia,2,Khokhloma,2,product,01_02_2_042.png
1,Russia,2,Khokhloma,2,product,01_02_2_043.png
1,Russia,2,Khokhloma,2,product,01_02_2_044.png
1,Russia,2,Khokhloma,2,product,01_02_2_045.png
1,Russia,2,Khokhloma,2,product,01_02_2_046.png
1,Russia,2,Khokhloma,2,product,01_02_2_047.png
1,Russia,2,Khokhloma,2,product,01_02_2_048.png
1,Russia,2,Khokhloma,2,product,01_02_2_049.png
1,Russia,2,Khokhloma,2,product,01_02_2_050.png
1,Russia,2,Khokhloma,2,product,01_02_2_051.png
1,Russia,2,Khokhloma,2,product,01_02_2_052.png
1,Russia,2,Khokhloma,2,product,01_02_2_053.png
1,Russia,2,Khokhloma,2,product,01_02_2_054.png
1,Russia,2,Khokhloma,2,product,01_02_2_055.png
1,Russia,2,Khokhloma,2,product,01_02_2_056.png
1,Russia,2,Khokhloma,2,product,01_02_2_057.png
1,Russia,2,Khokhloma,2,product,01_02_2_058.png
1,Russia,2,Khokhloma,2,product,01_02_2_059.png
1,Russia,2,Khokhloma,2,product,01_02_2_060.png
1,Russia,2,Khokhloma,2,product,01_02_2_061.png
1,Russia,2,Khokhloma,2,product,01_02_2_062.png
1,Russia,2,Khokhloma,2,product,01_02_2_063.png
1,Russia,2,Khokhloma,2,product,01_02_2_064.png
1,Russia,2,Khokhloma,2,product,01_02_2_065.png
